objID,RA,Dec,obj_at_loc
DC21bypav,149.8660825,1.989249929,0
DC21cbkfe,150.5698672,3.619084732,0
DC21cgwg,149.3548886,2.524731907,0
DC21cinh,149.3538309,2.526224142,0
DC21ckfs,150.5998274,2.55075922,0
DC21ckge,150.0858818,2.336900486,0
DC21cveh,149.0518404,1.22544207,0
DC21cvsig,8.522382497,-42.7971135,0
DC21cwzwo,8.925895604,-42.82835044,0
DC21cxffz,10.50129468,-43.78555257,0
DC21cyodf,7.07254475,-42.88283499,0
DC21czwvf,9.572590328,-44.71832976,0
DC21dglus,8.632536072,-42.77576052,0
DC21djvpn,10.50128294,-43.78376171,0
DC21djxfx,7.901279921,-43.73861781,0
DC21dkhvw,9.884051019,-43.92863492,0
DC21efoi,148.7735943,2.198070273,0
DC21fbia,150.4382218,2.659053587,0
DC21fbtw,149.3329033,2.679304177,0
DC21fcrl,150.9100626,2.649090659,0
DC21fdtb,150.7016886,2.478754786,0
DC21fhuj,149.129277,2.201358737,0
DC21frwb,148.857144,2.522977124,0
DC21fumn,150.1732252,2.173566765,0
DC21fwyo,150.3786442,2.657873299,0
DC21gaio,149.798612,2.52446045,1
DC21gbkj,150.3119622,2.140884874,1
DC21ghtg,150.5720941,2.666513057,0
DC21gipk,150.0439924,2.832295375,0
DC21gjcp,149.5432502,3.528796033,0
DC21gqwm,149.6614297,2.714742497,0
DC21jinc,150.1254794,1.925126528,0
DC21mjrj,7.294016668,-43.20642575,0
DC22dvqad,8.959752209,-42.63031273,1
DC22dvzzk,10.99363957,-44.04560011,0
DC22dwcml,9.875776513,-44.07248339,0
DC22ebohx,150.0073223,1.402878478,0
DC22edhli,7.676039633,-43.51669794,1
DC22enoah,150.0222748,2.05459317,0
DC22enurv,150.0454516,2.176627954,0
DC22enwuh,151.3978486,1.597294201,0
DC22gtgtr,149.2997022,2.491083971,0
DC22gthex,150.8342818,2.637717057,0
DC22gtjsd,150.2683692,2.834499354,0
DC22gtkhm,149.9025008,2.227503592,0
DC22gtkiq,149.6297484,1.351879237,0
DC22gtlrp,150.8343737,2.63831002,0
DC22gtrdr,150.351773,1.485050059,0
DC22gtwth,149.2777786,2.585255128,0
DC22gtxpt,150.8800947,2.701858899,0
DC22guctp,150.9326744,1.280174346,0
DC22gudje,150.6587068,3.405001664,0
DC22gudtj,150.1918547,3.564541574,0
DC22gueme,150.6885231,2.479594106,0
DC22guflp,148.8808172,2.183831343,0
DC22gufog,149.5461783,2.471567341,0
DC22gugox,151.1453574,0.8116052538,0
DC22gugre,151.1305077,1.071594733,0
DC22gugtl,150.8805411,2.702274989,0
DC22guguo,150.475369,2.715104078,0
DC22guhif,150.8373368,2.6455202,0
DC22gukms,151.0261697,1.041464761,0
DC22gupgh,151.0936941,1.710214065,1
DC22guyix,149.808752,2.543898401,0
DC22guywa,149.8758423,2.194566036,0
DC22gvcym,149.4021161,1.029748558,0
DC22gwear,149.482307,3.278586233,0
DC22hisau,149.9060121,1.979425496,0
DC22ibvrq,7.359627007,-43.21412873,1
DC22ihqdt,8.489256792,-44.35188895,0
DC22irumm,8.011674645,-42.07254602,0
DC22irvse,10.30102927,-44.30208016,0
DC22isarh,7.337396765,-42.2215757,1
DC22iymwd,10.71659514,-43.73933934,1
DC23jglyk,6.937629381,-42.72166024,1
DC23jjlpf,150.8252112,0.9805782455,0
DC23jjmgi,151.2241601,2.510859931,0
DC23jmxkg,148.4021513,1.514805066,0
DC23jnfjk,150.761759,2.95707886,0
DC23jngto,148.4021648,1.518048908,0
DC23joidg,149.3186972,1.070910978,0
DC23jppqf,150.6500598,2.975294866,0
DC23jqqgs,150.8766755,3.328887456,1
DC23jqxrp,151.1217989,1.687561594,0
DC23jsctd,149.3187033,1.069751037,0
DC23jsner,149.853385,1.861573409,1
DC23jsqun,150.4185573,3.5030599,1
DC23jtnhx,150.6917693,1.711307344,1
DC23jtnhy,150.6920086,1.723832463,1
DC23jvlxw,150.9093567,3.069620236,0
DC23jwksq,150.1201194,1.704998345,1
DC23kewth,148.4021635,1.519428363,1
DC23kiazt,148.4256306,1.646822903,1
DC23kjceb,149.4857027,3.307828618,0
DC23knjzy,150.8752287,2.542513656,1
DC23kpgic,149.3521659,3.621202907,0
DC23kpyed,150.054321,2.653482309,0
DC23kpzki,149.6185155,2.697742603,0
DC23kqtdb,149.1203657,3.468291497,0
DC23kqvtj,150.6243758,1.559267935,0
DC23kqxsi,149.4252212,2.648445424,0
DC23kqzzr,150.2315954,3.967987178,0
DC23krafz,150.3901058,4.019626123,0
DC23krbaf,150.0000893,1.503870351,0
DC23krcfc,150.40828,3.393696208,0
DC23krcha,150.1133211,3.299986558,0
DC23krcix,149.6342514,2.62996898,0
DC23krcjl,150.1457382,2.508065633,0
DC23krdzv,150.2837522,0.9774798553,0
DC23krsal,150.6144633,2.888390512,0
DC23krsgu,149.5607608,3.82651148,0
DC23krtkg,149.923945,1.533422845,0
DC23krtlg,150.3982174,1.635070975,1
DC23krvxt,149.8271486,2.542361685,1
DC23krxyi,149.780598,3.123352752,0
DC23krynm,149.2560154,1.857740106,0
DC23krysw,150.1764556,2.489690956,0
DC23ksafa,150.4092118,3.988390054,0
DC23ksahc,150.9881301,3.067649585,1
DC23ksayv,149.8276103,2.542709929,0
DC23ksbet,149.8343693,1.60625776,0
DC23ksbfd,148.774648,1.04545343,0
DC23ksdzz,150.0536532,1.403776184,0
DC23ktdtc,150.0499606,2.786841409,0
DC23ktngo,149.6087893,3.812415229,0
DC23ktqmv,150.6491871,2.890956685,0
DC23ktroh,148.78041,0.8379929493,0
DC23kugeb,150.6704259,2.888869732,0
DC23kuleq,150.5471156,3.358985442,0
DC23kunqg,150.0865413,2.726589403,0
DC23kvhvf,151.6070035,1.475515057,0
DC24kioi,8.050950445,-43.6059087,1
DC24nauf,7.056163587,-43.3099071,1
DC24xmj,150.6839163,1.72645947,0
DC24xmk,150.6884488,1.728435151,0
DC24xmt,150.7147947,1.736675535,0
DC24zxl,150.7067223,1.732248279,0